level,amount
1,70
2,70
3,70
4,70
5,70
6,100
7,100
8,100
9,100
10,100
11,150
12,150
13,150
14,150
15,150
16,150
17,150
18,150
19,150
20,150
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,200
29,200
30,200
31,200
32,200
33,200
34,200
35,200
36,200
37,200
38,200
39,200
40,200
41,200
42,200
43,200
44,200
45,200
46,200
47,200
48,200
49,200
50,200
51,300
52,300
53,300
54,300
55,300
56,300
57,300
58,300
59,300
60,300
61,300
62,300
63,300
64,300
65,300
66,300
67,300
68,300
69,300
70,300
71,300
72,300
73,300
74,300
75,300
76,300
77,300
78,300
79,300
80,300
81,300
82,300
83,300
84,300
85,300
86,300
87,300
88,300
89,300
90,300
91,300
92,300
93,300
94,300
95,300
96,300
97,300
98,300
99,300
100,300
101,400
102,400
103,400
104,400
105,400
106,400
107,400
108,400
109,400
110,400
111,400
112,400
113,400
114,400
115,400
116,400
117,400
118,400
119,400
120,400
121,400
122,400
123,400
124,400
125,400
126,400
127,400
128,400
129,400
130,400
131,400
132,400
133,400
134,400
135,400
136,400
137,400
138,400
139,400
140,400
141,400
142,400
143,400
144,400
145,400
146,400
147,400
148,400
149,400
150,400
151,500
152,500
153,500
154,500
155,500
156,500
157,500
158,500
159,500
160,500
161,500
162,500
163,500
164,500
165,500
166,500
167,500
168,500
169,500
170,500
171,500
172,500
173,500
174,500
175,500
176,500
177,500
178,500
179,500
180,500
181,500
182,500
183,500
184,500
185,500
186,500
187,500
188,500
189,500
190,500
191,500
192,500
193,500
194,500
195,500
196,500
197,500
198,500
199,500
200,500
