level,amount
1,1200
2,1200
3,1200
4,1200
5,1200
6,2000
7,2000
8,2000
9,2000
10,2000
11,3500
12,3500
13,3500
14,3500
15,3500
16,3500
17,3500
18,3500
19,3500
20,3500
21,5000
22,5000
23,5000
24,5000
25,5000
26,5000
27,5000
28,5000
29,5000
30,5000
31,5000
32,5000
33,5000
34,5000
35,5000
36,5000
37,5000
38,5000
39,5000
40,5000
41,5000
42,5000
43,5000
44,5000
45,5000
46,5000
47,5000
48,5000
49,5000
50,5000
51,7500
52,7500
53,7500
54,7500
55,7500
56,7500
57,7500
58,7500
59,7500
60,7500
61,7500
62,7500
63,7500
64,7500
65,7500
66,7500
67,7500
68,7500
69,7500
70,7500
71,7500
72,7500
73,7500
74,7500
75,7500
76,7500
77,7500
78,7500
79,7500
80,7500
81,7500
82,7500
83,7500
84,7500
85,7500
86,7500
87,7500
88,7500
89,7500
90,7500
91,7500
92,7500
93,7500
94,7500
95,7500
96,7500
97,7500
98,7500
99,7500
100,7500
101,10000
102,10000
103,10000
104,10000
105,10000
106,10000
107,10000
108,10000
109,10000
110,10000
111,10000
112,10000
113,10000
114,10000
115,10000
116,10000
117,10000
118,10000
119,10000
120,10000
121,10000
122,10000
123,10000
124,10000
125,10000
126,10000
127,10000
128,10000
129,10000
130,10000
131,10000
132,10000
133,10000
134,10000
135,10000
136,10000
137,10000
138,10000
139,10000
140,10000
141,10000
142,10000
143,10000
144,10000
145,10000
146,10000
147,10000
148,10000
149,10000
150,10000
151,15000
152,15000
153,15000
154,15000
155,15000
156,15000
157,15000
158,15000
159,15000
160,15000
161,15000
162,15000
163,15000
164,15000
165,15000
166,15000
167,15000
168,15000
169,15000
170,15000
171,15000
172,15000
173,15000
174,15000
175,15000
176,15000
177,15000
178,15000
179,15000
180,15000
181,15000
182,15000
183,15000
184,15000
185,15000
186,15000
187,15000
188,15000
189,15000
190,15000
191,15000
192,15000
193,15000
194,15000
195,15000
196,15000
197,15000
198,15000
199,15000
200,15000
