level,amount
1,800
2,800
3,800
4,800
5,800
6,800
7,800
8,800
9,800
10,800
11,1200
12,1200
13,1200
14,1200
15,1200
16,1200
17,1200
18,1200
19,1200
20,1200
21,2000
22,2000
23,2000
24,2000
25,2000
26,2000
27,2000
28,2000
29,2000
30,2000
31,2000
32,2000
33,2000
34,2000
35,2000
36,2000
37,2000
38,2000
39,2000
40,2000
41,2000
42,2000
43,2000
44,2000
45,2000
46,2000
47,2000
48,2000
49,2000
50,2000
51,3500
52,3500
53,3500
54,3500
55,3500
56,3500
57,3500
58,3500
59,3500
60,3500
61,3500
62,3500
63,3500
64,3500
65,3500
66,3500
67,3500
68,3500
69,3500
70,3500
71,3500
72,3500
73,3500
74,3500
75,3500
76,3500
77,3500
78,3500
79,3500
80,3500
81,3500
82,3500
83,3500
84,3500
85,3500
86,3500
87,3500
88,3500
89,3500
90,3500
91,3500
92,3500
93,3500
94,3500
95,3500
96,3500
97,3500
98,3500
99,3500
100,3500
101,5000
102,5000
103,5000
104,5000
105,5000
106,5000
107,5000
108,5000
109,5000
110,5000
111,5000
112,5000
113,5000
114,5000
115,5000
116,5000
117,5000
118,5000
119,5000
120,5000
121,5000
122,5000
123,5000
124,5000
125,5000
126,5000
127,5000
128,5000
129,5000
130,5000
131,5000
132,5000
133,5000
134,5000
135,5000
136,5000
137,5000
138,5000
139,5000
140,5000
141,5000
142,5000
143,5000
144,5000
145,5000
146,5000
147,5000
148,5000
149,5000
150,5000
151,10000
152,10000
153,10000
154,10000
155,10000
156,10000
157,10000
158,10000
159,10000
160,10000
161,10000
162,10000
163,10000
164,10000
165,10000
166,10000
167,10000
168,10000
169,10000
170,10000
171,10000
172,10000
173,10000
174,10000
175,10000
176,10000
177,10000
178,10000
179,10000
180,10000
181,10000
182,10000
183,10000
184,10000
185,10000
186,10000
187,10000
188,10000
189,10000
190,10000
191,10000
192,10000
193,10000
194,10000
195,10000
196,10000
197,10000
198,10000
199,10000
200,10000
