level,percent
1,-2
2,-2
3,-2
4,-2
5,-2
6,-3
7,-3
8,-3
9,-3
10,-3
11,-4
12,-4
13,-4
14,-4
15,-4
16,-4
17,-4
18,-4
19,-4
20,-4
21,-5
22,-5
23,-5
24,-5
25,-5
26,-5
27,-5
28,-5
29,-5
30,-5
31,-5
32,-5
33,-5
34,-5
35,-5
36,-5
37,-5
38,-5
39,-5
40,-5
41,-5
42,-5
43,-5
44,-5
45,-5
46,-5
47,-5
48,-5
49,-5
50,-5
51,-6
52,-6
53,-6
54,-6
55,-6
56,-6
57,-6
58,-6
59,-6
60,-6
61,-6
62,-6
63,-6
64,-6
65,-6
66,-6
67,-6
68,-6
69,-6
70,-6
71,-6
72,-6
73,-6
74,-6
75,-6
76,-6
77,-6
78,-6
79,-6
80,-6
81,-6
82,-6
83,-6
84,-6
85,-6
86,-6
87,-6
88,-6
89,-6
90,-6
91,-6
92,-6
93,-6
94,-6
95,-6
96,-6
97,-6
98,-6
99,-6
100,-6
101,-7
102,-7
103,-7
104,-7
105,-7
106,-7
107,-7
108,-7
109,-7
110,-7
111,-7
112,-7
113,-7
114,-7
115,-7
116,-7
117,-7
118,-7
119,-7
120,-7
121,-7
122,-7
123,-7
124,-7
125,-7
126,-7
127,-7
128,-7
129,-7
130,-7
131,-7
132,-7
133,-7
134,-7
135,-7
136,-7
137,-7
138,-7
139,-7
140,-7
141,-7
142,-7
143,-7
144,-7
145,-7
146,-7
147,-7
148,-7
149,-7
150,-7
151,-8
152,-8
153,-8
154,-8
155,-8
156,-8
157,-8
158,-8
159,-8
160,-8
161,-8
162,-8
163,-8
164,-8
165,-8
166,-8
167,-8
168,-8
169,-8
170,-8
171,-8
172,-8
173,-8
174,-8
175,-8
176,-8
177,-8
178,-8
179,-8
180,-8
181,-8
182,-8
183,-8
184,-8
185,-8
186,-8
187,-8
188,-8
189,-8
190,-8
191,-8
192,-8
193,-8
194,-8
195,-8
196,-8
197,-8
198,-8
199,-8
200,-8
